Pixel-X	Pixel-Y	Longitude	Latitude	rhos_492	rhos_559	rhos_665	rhos_739	rhos_833	rhos_1610	l2_negatives	lon	lat	ndvi	fdi	virtual_red	virtual_green	virtual_blue
524.5	377.5	-2.546008348464966	56.20404052734375	0.03339022	0.028809782	0.019048963	0.02074899	0.020245893	0.006951381	0	-2.5460083	56.20404	0.030460225	0.024025986	0.019048963	0.028809782	0.03339022
525.5	377.5	-2.545847177505493	56.20404052734375	0.034155354	0.027679803	0.018475473	0.02074899	0.019570794	0.006951381	0	-2.5458472	56.20404	0.028789185	0.023350887	0.018475473	0.027679803	0.034155354
526.5	377.5	-2.5456860065460205	56.20404052734375	0.034792837	0.029437441	0.020654524	0.02074899	0.022158502	0.0066449237	0	-2.545686	56.20404	0.03512898	0.026483407	0.020654524	0.029437441	0.034792837
523.5	378.5	-2.546170473098755	56.20395278930664	0.035047807	0.030567031	0.020883866	0.021992974	0.024183327	0.0067470754	0	-2.5461705	56.203953	0.07321205	0.029294172	0.020883866	0.030567031	0.035047807
524.5	378.5	-2.5460093021392822	56.20395278930664	0.03555767	0.030818025	0.020998532	0.020183494	0.023058463	0.0071556834	0	-2.5460093	56.203953	0.046756048	0.026035521	0.020998532	0.030818025	0.03555767
418.5	496.5	-2.563215494155884	56.19340896606445	0.033645283	0.03044153	0.019507727	0.021879893	0.020583432	0.0094029745	0	-2.5632155	56.19341	0.026831489	0.020884728	0.019507727	0.03044153	0.033645283
419.5	496.5	-2.563054323196411	56.19340896606445	0.036194902	0.029562967	0.019737102	0.021879893	0.021370986	0.0094029745	0	-2.5630543	56.19341	0.039746057	0.021672282	0.019737102	0.029562967	0.036194902
398.5	497.5	-2.566439151763916	56.19333267211914	0.034155354	0.031696368	0.022374421	0.029453846	0.024183327	0.014612274	0	-2.5664392	56.193333	0.038852952	0.021114498	0.022374421	0.031696368	0.034155354
399.5	497.5	-2.5662779808044434	56.19333267211914	0.0397613	0.035584416	0.0263861	0.029453846	0.033741087	0.014612274	0	-2.566278	56.193333	0.122323796	0.030672258	0.0263861	0.035584416	0.0397613
401.5	497.5	-2.565955877304077	56.193328857421875	0.05170812	0.053731225	0.044128466	0.042441413	0.065628216	0.021659415	0	-2.5659559	56.19333	0.19588555	0.060132578	0.044128466	0.053731225	0.05170812
410.5	497.5	-2.5645055770874023	56.19332504272461	0.032624923	0.02968849	0.019966466	0.018826183	0.020920958	0.00919868	0	-2.5645056	56.193325	0.02334439	0.019210337	0.019966466	0.02968849	0.032624923
413.5	497.5	-2.5640220642089844	56.19332504272461	0.033007592	0.028056493	0.019851785	0.01859995	0.021595996	0.009300826	0	-2.564022	56.193325	0.042082127	0.01952782	0.019851785	0.028056493	0.033007592
417.5	497.5	-2.563377618789673	56.193321228027344	0.03568512	0.030065022	0.020654524	0.025158834	0.022158502	0.008585788	0	-2.5633776	56.19332	0.03512898	0.02646286	0.020654524	0.030065022	0.03568512
398.5	498.5	-2.5664401054382324	56.193241119384766	0.054878704	0.055979434	0.04938654	0.07692284	0.057550997	0.034219623	0	-2.56644	56.19324	0.07634792	0.05654499	0.04938654	0.055979434	0.054878704
407.5	498.5	-2.5649900436401367	56.1932373046875	0.047518592	0.04034637	0.032228168	0.06408985	0.038573716	0.017472085	0	-2.56499	56.193237	0.089623995	0.057359893	0.032228168	0.04034637	0.047518592
415.5	498.5	-2.5637009143829346	56.193233489990234	0.040906884	0.036837995	0.03154108	0.06972027	0.036438573	0.018084886	0	-2.563701	56.193233	0.07204352	0.05851454	0.03154108	0.036837995	0.040906884
